B2,B3,B4,B8,B11,B12,NDVI,NDMI,NBR,BSI,EVI,Elevation,Slope,Eastness,Northness,Label
0.03988851,0.061821662,0.046416983,0.283396,0.1905198,0.09968528,0.71852547,0.19597618,0.47956067,-0.15413147,0.4691784,387.0,19.894606,0.59050965,0.80112743,1
0.04100277,0.060599938,0.06457463,0.22981393,0.20246045,0.12690425,0.56129664,0.06327805,0.28849015,-0.0070309713,0.31540456,572.0,22.034014,0.46755892,-0.8703292,1
0.042839352,0.06411825,0.048904356,0.28983444,0.19901837,0.104181685,0.71125627,0.18577385,0.47118062,-0.14597239,0.47729138,1164.0,26.922321,0.877831,0.45645073,1
0.041284222,0.06287758,0.047267277,0.28761935,0.19444858,0.10152626,0.71771175,0.19327313,0.4782094,-0.15279487,0.4762875,607.0,22.933458,-0.9520023,-0.30525744,1
0.044293694,0.065528356,0.05382256,0.2797825,0.2043058,0.109816745,0.6773277,0.15591516,0.43625793,-0.11327263,0.4446227,859.0,36.346283,0.32472306,-0.9448809,1
0.041290168,0.060957927,0.064672954,0.23071395,0.20309071,0.12679836,0.5621136,0.06367667,0.29066297,-0.007856063,0.31709594,432.0,22.493303,-0.4677478,-0.88348424,1
0.041222055,0.060873084,0.06464965,0.23050065,0.20294134,0.12682346,0.5619205,0.063582465,0.2901489,-0.0076610623,0.31669495,458.0,18.854433,0.91275537,0.36055577,1
0.044249196,0.065430515,0.052312527,0.28487995,0.20368855,0.10825038,0.6897171,0.16618223,0.44929013,-0.12497743,0.45893514,1038.0,22.843193,0.7090664,0.69448537,1
0.043648362,0.06477797,0.0495808,0.29156834,0.20131424,0.10532309,0.7093306,0.18311481,0.46925995,-0.14386618,0.47949073,1300.0,24.026121,-0.78926736,0.61232895,1
0.04410675,0.06533418,0.05289063,0.28213206,0.20352665,0.10878753,0.68425643,0.1618532,0.4434276,-0.119833186,0.4517339,1092.0,22.555267,0.9727434,-0.15216154,1
0.038891032,0.059551384,0.057978276,0.24085645,0.19392483,0.11651759,0.61197096,0.107943065,0.3479236,-0.052373458,0.35249048,758.0,21.636555,-0.964425,-0.25032315,1
0.04292335,0.06420086,0.049233828,0.28909495,0.19933967,0.10455556,0.7089587,0.18376109,0.4687899,-0.1437237,0.47494516,1128.0,26.888643,0.9540978,0.29302078,1
0.041089468,0.060707934,0.06460429,0.23008545,0.20265059,0.1268723,0.5615437,0.06339859,0.28914666,-0.0072804918,0.31591463,599.0,32.573425,-0.94774395,0.30448326,1
0.03980091,0.060286645,0.05951014,0.24015297,0.19680545,0.118698604,0.6028197,0.09920286,0.33845294,-0.044079125,0.3477359,625.0,18.262901,0.40832758,0.90237993,1
0.040827543,0.06252691,0.04682611,0.28680924,0.19310701,0.1007529,0.71929765,0.19524704,0.48006842,-0.15452486,0.47556844,648.0,21.466467,-0.3257388,0.9450708,1
0.039026856,0.05975918,0.057746883,0.2421775,0.19407655,0.11604184,0.6149237,0.11025903,0.35211852,-0.055120807,0.35578063,650.0,18.361929,0.20154044,0.9710691,1
0.040388048,0.062198862,0.04693216,0.28418007,0.19200638,0.10058639,0.7165181,0.1935664,0.47715613,-0.15195842,0.46966293,794.0,28.853928,-0.7817397,-0.6056157,1
0.042869218,0.06375584,0.060231697,0.2514852,0.20378597,0.118192025,0.6135487,0.104771025,0.36056638,-0.054330703,0.37025705,321.0,23.83051,-0.6801002,0.7026908,1
0.03943173,0.061458454,0.04707568,0.2788052,0.18960683,0.10019994,0.7110866,0.19042714,0.47124758,-0.14696622,0.45777482,369.0,22.618484,0.21881378,-0.9620973,1
